	country	lineage	drug	strain	date	MDR
1100	China	lineage2	ISONIAZID	SAMN01908813	19.3065398036	1
1101	United Kingdom	lineage4	FLUOROQUINOLONES	SAMN03647562	8.34281432212	0
1102	United Kingdom	lineage4	FLUOROQUINOLONES	SAMN03648066	5.63610138587	0
1103	United Kingdom	lineage4	FLUOROQUINOLONES	SAMN03647412	6.384935023580001	0
1104	United Kingdom	lineage4	FLUOROQUINOLONES	SAMEA1019134	8.34281432212	0
1105	Peru	lineage2	OTHER	Peru4940	16.3944557309	1
1106	Peru	lineage2	OTHER	Peru5147	165.10224768700002	1
1107	Peru	lineage2	OTHER	Peru5126	15.9753070219	1
1108	Peru	lineage2	OTHER	Peru5439	15.9753070219	1
1109	Peru	lineage2	OTHER	Peru3282	14.049535721500002	1
1110	Peru	lineage2	OTHER	Peru4956	3.15412044907	1
1111	Peru	lineage2	OTHER	Peru3430	4.41461557406	1
1112	Peru	lineage2	OTHER	Peru4998	165.10224768700002	1
1113	South Korea	lineage3	AMINOGLYCOSIDE	SAMEA3558145	38.56321126	1
1114	South Korea	lineage3	AMINOGLYCOSIDE	SAMEA3558115	18.2748073688	0
1115	South Korea	lineage3	AMINOGLYCOSIDE	SAMEA3558129	19.6522049833	0
1116	South Korea	lineage3	AMINOGLYCOSIDE	SAMEA3558128	19.6522049833	0
1117	South Korea	lineage3	AMINOGLYCOSIDE	SAMEA3558126	16.3177658099	0
1118	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1016061	12.3950522913	1
1119	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1016081	7.682548682	1
1120	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1403774	2.86589748825	1
1121	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1403918	2.86589748825	1
1122	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1469500	3.1742974927999996	1
1123	Russia	lineage4	AMINOGLYCOSIDE	SAMEA1015939	6.339833682769999	0
1124	United Kingdom	lineage3	FLUOROQUINOLONES	SAMN03647549	22.340864814	1
1125	United Kingdom	lineage3	FLUOROQUINOLONES	SAMN03648270	22.340864814	1
1126	India	lineage2	ETHAMBUTOL	SAMEA2535142	26.8143033789	1
1127	India	lineage2	ETHAMBUTOL	SAMN06473179	12.2305917276	1
1128	India	lineage2	ETHAMBUTOL	SAMN06473204	12.2305917276	1
1129	India	lineage2	ETHAMBUTOL	SAMN02599095	10.3346905107	1
1130	India	lineage2	ETHAMBUTOL	SAMN02599096	10.3346905107	1
1131	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2534807	38.3431991968	1
1132	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2533720	3.86709527454	1
1133	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2534839	3.86709527454	0
1134	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2533376	3.58661724888	1
1135	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2533673	25.9522672108	0
1136	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2534521	5.8439838993499995	0
1137	Sierra Leone	lineage4	ETHAMBUTOL	SAMEA2535046	15.767672536800001	1
1138	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647522	23.2026757878	1
1139	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648094	5.519321890770001	1
1140	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647497	18.2766692165	1
1141	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647571	10.5926333761	0
1142	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648028	17.1147390364	1
1143	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647561	9.518029706950001	1
1144	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647549	21.7566116112	1
1145	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647541	14.8789347205	1
1146	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648270	21.7566116112	1
1147	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648268	15.875323590699999	1
1148	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647455	12.6800502382	1
1149	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647467	22.9446445748	1
1150	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648012	6.34929502074	0
1151	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647558	19.5023109509	1
1152	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648027	17.1147390364	1
1153	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648021	25.4676869432	1
1154	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648057	12.722223406500001	1
1155	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03648009	7.909864261810001	1
1156	United Kingdom	lineage3	RIFAMPICIN/RIFABUTIN	SAMN03647419	25.4676869432	1
1157	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403940	8.293203546760001	0
1158	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707198	16.6570229831	1
1159	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707197	10.4385832053	1
1160	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707452	5.70647407661	1
1161	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016000	20.0352934563	1
1162	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707305	5.8369562084	1
1163	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016088	5.51312490665	1
1164	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016128	3.78163341794	1
1165	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016081	9.22736320245	1
1166	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403829	4.2346013850999995	1
1167	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707124	10.4533707615	1
1168	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403623	2.89204771133	1
1169	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403918	3.95848876171	1
1170	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707552	10.1324568592	1
1171	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707184	10.2480758304	1
1172	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403700	21.4353061432	1
1173	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403701	2.21574345489	0
1174	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707500	2.95570397638	1
1175	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403709	10.2127484874	1
1176	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015936	3.87175539608	1
1177	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016091	8.66088934533	1
1178	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016130	22.9829059348	1
1179	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015931	5.70647407661	1
1180	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1469524	3.1246335354	1
1181	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015935	11.5554715767	1
1182	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403811	2.21574345489	0
1183	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016186	7.4702962274699996	1
1184	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016029	4.9446243031199995	1
1185	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016025	5.4704550119199995	1
1186	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016021	3.25754037935	1
1187	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403993	4.998600199649999	0
1188	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403980	5.10439422967	1
1189	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403933	5.10439422967	1
1190	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403763	9.22736320245	1
1191	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015954	9.68521830108	1
1192	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403845	4.60979564922	1
1193	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015959	8.44026296529	0
1194	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403786	4.6733944877599995	1
1195	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707150	3.95848876171	1
1196	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403774	3.95848876171	1
1197	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707419	2.5035399899599997	1
1198	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016201	9.741280901880002	1
1199	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707393	3.4135034285500003	0
1200	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707394	4.30626002931	1
1201	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707258	2.96741001385	1
1202	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015944	18.2391693347	1
1203	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016145	10.2780907508	1
1204	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403819	1.80284765492	1
1205	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016072	6.27921037265	1
1206	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403741	16.6425283182	1
1207	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403686	3.8736958315199996	1
1208	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707446	10.4385832053	1
1209	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016061	4.52563278871	1
1210	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707201	3.2045854787700003	1
1211	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016030	16.8349825991	1
1212	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403805	3.5374773915	1
1213	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016051	3.66206942667	1
1214	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016148	8.44026296529	1
1215	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707142	3.87175539608	1
1216	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403609	10.1324568592	1
1217	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403877	3.12806033278	1
1218	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015988	14.0412854878	1
1219	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016184	17.7192074472	1
1220	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1403727	18.4194906997	1
1221	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707339	10.2480758304	1
1222	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016019	5.813758531919999	1
1223	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707504	10.1324568592	1
1224	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1015958	9.68521830108	1
1225	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1016158	3.87175539608	1
1226	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1469500	3.9584887617	1
1227	Russia	lineage4	RIFAMPICIN/RIFABUTIN	SAMEA1707288	2.1418857198400003	0
1228	United Kingdom	lineage2	FLUOROQUINOLONES	SAMN03647155	26.3210851356	1
1229	United Kingdom	lineage2	FLUOROQUINOLONES	SAMN03647400	3.9233465331999997	1
1230	South Africa	lineage4	FLUOROQUINOLONES	SAMN01925618	1.98748754199	1
1231	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95537668	1.28047980611	1
1232	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95490418	5.96674667892	1
1233	South Africa	lineage4	FLUOROQUINOLONES	SAMN03648821	37.8299829797	1
1234	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95428918	4.98355136628	1
1235	South Africa	lineage4	FLUOROQUINOLONES	SAMN03648918	5.642957136830001	0
1236	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95446168	4.10170437332	1
1237	South Africa	lineage4	FLUOROQUINOLONES	SAMN02350418	14.846540516300001	1
1238	South Africa	lineage4	FLUOROQUINOLONES	SAMN02350412	1.98748754199	1
1239	South Africa	lineage4	FLUOROQUINOLONES	SAMN02350417	1.98748754199	1
1240	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95522668	4.98355136628	1
1241	South Africa	lineage4	FLUOROQUINOLONES	SAMN02350434	3.2587926131900002	1
1242	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95414668	7.091135914760001	1
1243	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95438668	7.091135914760001	1
1244	South Africa	lineage4	FLUOROQUINOLONES	SAMEA95518918	6.12369689101	1
1245	Peru	lineage2	ISONIAZID	Peru5034	16.2416779039	1
1246	Peru	lineage2	ISONIAZID	Peru4003	3.9690284617800002	0
1247	Peru	lineage2	ISONIAZID	Peru4109	7.75652002347	0
1248	Peru	lineage2	ISONIAZID	Peru4635	16.2416779039	1
1249	Peru	lineage2	ISONIAZID	Peru3393	25.7489632121	1
1250	Peru	lineage2	ISONIAZID	Peru4615	26.756671619699997	0
1251	Peru	lineage2	ISONIAZID	Peru4940	21.8326258837	1
1252	Peru	lineage2	ISONIAZID	Peru4304	21.8326258837	1
1253	Peru	lineage2	ISONIAZID	Peru5147	33.5024482372	1
1254	Peru	lineage2	ISONIAZID	Peru5417	25.7489632121	0
1255	Peru	lineage2	ISONIAZID	Peru5007	16.2416779039	1
1256	Peru	lineage2	ISONIAZID	Peru4301	25.7489632121	1
1257	Peru	lineage2	ISONIAZID	Peru5126	25.7489632121	1
1258	Peru	lineage2	ISONIAZID	Peru5026	16.2416779039	1
1259	Peru	lineage2	ISONIAZID	Peru5027	16.2416779039	1
1260	Peru	lineage2	ISONIAZID	Peru3413	5.955846709509999	1
1261	Peru	lineage2	ISONIAZID	Peru4323	5.54312302623	1
1262	Peru	lineage2	ISONIAZID	Peru5439	25.7489632121	1
1263	Peru	lineage2	ISONIAZID	Peru5035	16.2416779039	1
1264	Peru	lineage2	ISONIAZID	Peru4037	8.45581635215	0
1265	Peru	lineage2	ISONIAZID	Peru4608	3.9690284617800002	1
1266	Peru	lineage2	ISONIAZID	Peru4933	7.75652002347	1
1267	Peru	lineage2	ISONIAZID	Peru4318	4.52339283569	1
1268	Peru	lineage2	ISONIAZID	Peru3430	25.7489632121	1
1269	Peru	lineage2	ISONIAZID	Peru4622	5.955846709509999	1
1270	Peru	lineage2	ISONIAZID	Peru4606	3.9690284617800002	1
1271	Peru	lineage2	ISONIAZID	Peru4724	5.955846709509999	1
1272	Peru	lineage2	ISONIAZID	Peru3025	25.7489632121	1
1273	Peru	lineage2	ISONIAZID	Peru3328	37.0492429785	1
1274	Peru	lineage2	ISONIAZID	Peru4898	21.8326258837	1
1275	Peru	lineage2	ISONIAZID	Peru4998	33.5024482372	1
1276	Peru	lineage2	ISONIAZID	Peru3308	25.7489632121	1
1277	Peru	lineage2	ISONIAZID	Peru3282	26.756671619699997	1
1278	Peru	lineage2	ISONIAZID	Peru5118	25.7489632121	1
1279	Peru	lineage2	ISONIAZID	Peru3022	21.8326258837	0
1280	Peru	lineage2	ISONIAZID	Peru4989	7.75652002347	1
1281	United Kingdom	lineage4	ETHAMBUTOL	SAMEA1018859	6.6887761387	0
1282	United Kingdom	lineage4	ETHAMBUTOL	SAMEA1018884	5.941751629330001	0
1283	United Kingdom	lineage4	ETHAMBUTOL	SAMN03647407	11.6013324143	1
1284	United Kingdom	lineage4	ETHAMBUTOL	SAMEA1019184	5.65250432873	1
1285	United Kingdom	lineage4	ETHAMBUTOL	SAMN03647305	7.5695020600100005	1
1286	United Kingdom	lineage4	ETHAMBUTOL	SAMN03648042	16.0254764828	1
1287	United Kingdom	lineage4	ETHAMBUTOL	SAMEA2297124	12.6147909174	1
1288	United Kingdom	lineage4	ETHAMBUTOL	SAMN03647632	20.0110554724	1
1289	Malawi	lineage3	ISONIAZID	SAMEA1556513	10.8912891404	0
1290	Malawi	lineage3	ISONIAZID	SAMEA1708419	14.9975953285	0
1291	Malawi	lineage3	ISONIAZID	SAMEA1708242	16.803836364400002	0
1292	Malawi	lineage3	ISONIAZID	SAMEA1708276	13.6125478347	0
1293	Malawi	lineage3	ISONIAZID	SAMEA1708274	18.7337635718	0
1294	Malawi	lineage3	ISONIAZID	SAMEA1465951	10.8912891404	0
1295	Germany	lineage4	STREPTOMYCIN	SAMEA2533960	51.57032598439999	0
1296	Germany	lineage4	STREPTOMYCIN	SAMEA2533991	12.682175213699999	0
1297	Germany	lineage4	STREPTOMYCIN	SAMEA2533518	5.943225064380001	0
1298	Germany	lineage4	STREPTOMYCIN	SAMEA2534609	51.57032598439999	0
1299	Germany	lineage4	STREPTOMYCIN	SAMEA2533920	7.06296672617	0
1300	Germany	lineage4	STREPTOMYCIN	SAMEA2533731	10.3029423167	0
1301	Germany	lineage4	STREPTOMYCIN	SAMEA2534943	9.59973033042	0
1302	Germany	lineage4	STREPTOMYCIN	SAMEA2534735	9.22269995593	0
1303	Germany	lineage4	STREPTOMYCIN	SAMEA2534637	10.9031243272	0
1304	Germany	lineage4	STREPTOMYCIN	SAMEA2533472	10.753442212000001	0
1305	Germany	lineage4	STREPTOMYCIN	SAMEA2533822	17.2586008305	0
1306	Germany	lineage4	STREPTOMYCIN	SAMEA2533501	7.02031850875	0
1307	Germany	lineage4	STREPTOMYCIN	SAMEA2534572	2.12782409628	0
1308	Germany	lineage4	STREPTOMYCIN	SAMEA2533647	5.943225064380001	0
1309	Germany	lineage4	STREPTOMYCIN	SAMEA2533383	9.23542196496	0
1310	Germany	lineage4	STREPTOMYCIN	SAMEA3558167	14.6305855189	0
1311	Germany	lineage4	STREPTOMYCIN	SAMEA2534662	7.02031850875	0
1312	Germany	lineage4	STREPTOMYCIN	SAMEA2533402	6.21408068569	0
1313	Germany	lineage4	STREPTOMYCIN	SAMEA2534937	9.05976567896	0
1314	Germany	lineage4	STREPTOMYCIN	SAMEA2534837	1.71517381558	0
1315	Germany	lineage4	STREPTOMYCIN	SAMEA2533797	23.0635310478	1
1316	Germany	lineage4	STREPTOMYCIN	SAMEA2534209	7.02031850875	0
1317	Germany	lineage4	STREPTOMYCIN	SAMEA2533456	7.036471045419999	0
1318	Germany	lineage4	STREPTOMYCIN	SAMEA2533599	15.5150556404	0
1319	Germany	lineage4	STREPTOMYCIN	SAMEA2535209	7.02031850875	0
1320	Germany	lineage4	STREPTOMYCIN	SAMEA2534083	31.506310373	0
1321	Germany	lineage4	STREPTOMYCIN	SAMEA2534232	6.387545332999999	0
1322	Germany	lineage4	STREPTOMYCIN	SAMEA2534235	5.83466296471	0
1323	Germany	lineage4	STREPTOMYCIN	SAMEA2533481	22.041997027399997	0
1324	Sierra Leone	lineage6	PYRAZINAMIDE	SAMEA2533674	6.481178140549999	0
1325	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567713	24.3884701989	1
1326	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567716	12.278798610399999	1
1327	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567726	12.278798610399999	1
1328	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567723	1.39730864984	1
1329	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567700	3.0357417828799997	1
1330	Romania	lineage4	AMINOGLYCOSIDE	SAMN02567701	37.5979496773	1
1331	South Africa	lineage2	STREPTOMYCIN	SAMEA95512918	3.4712041841100003	1
1332	South Africa	lineage2	STREPTOMYCIN	SAMEA95516668	4.079128015219999	1
1333	South Africa	lineage2	STREPTOMYCIN	SAMEA95493418	1.8514437196	1
1334	South Africa	lineage2	STREPTOMYCIN	SAMEA95416918	3.4712041841100003	1
1335	South Africa	lineage2	STREPTOMYCIN	SAMEA95428168	4.079128015219999	1
1336	South Africa	lineage2	STREPTOMYCIN	SAMEA95533168	1.5498175366	1
1337	South Africa	lineage2	STREPTOMYCIN	SAMN03648591	6.03831633151	1
1338	South Africa	lineage2	STREPTOMYCIN	SAMN02350473	4.24365399372	1
1339	South Africa	lineage2	STREPTOMYCIN	SAMEA95443168	3.3204657969999998	1
1340	South Africa	lineage2	STREPTOMYCIN	SAMEA95422168	1.2944093997	1
1341	South Africa	lineage2	STREPTOMYCIN	SAMN02053745	3.5097085624199997	0
1342	South Africa	lineage2	STREPTOMYCIN	SAMEA95413168	4.079128015219999	1
1343	South Africa	lineage2	STREPTOMYCIN	SAMEA95410918	3.4712041841100003	1
1344	South Africa	lineage2	STREPTOMYCIN	SAMEA95500168	1.2944093997	1
1345	South Africa	lineage2	STREPTOMYCIN	SAMEA95491918	4.079128015219999	1
1346	South Africa	lineage2	STREPTOMYCIN	SAMEA95527918	1.9557630630200002	1
1347	South Africa	lineage2	STREPTOMYCIN	SAMEA95425168	2.22067772575	1
1348	South Africa	lineage2	STREPTOMYCIN	SAMEA95425918	4.079128015219999	1
1349	South Africa	lineage2	STREPTOMYCIN	SAMEA95485168	1.8514437196	1
1350	South Africa	lineage2	STREPTOMYCIN	SAMEA95411668	4.079128015209999	1
1351	South Africa	lineage2	STREPTOMYCIN	SAMN02053779	7.129051756889999	0
1352	South Africa	lineage2	STREPTOMYCIN	SAMN02053772	7.129051756889999	1
1353	South Africa	lineage2	STREPTOMYCIN	SAMEA95492668	1.8514437196	1
1354	South Africa	lineage2	STREPTOMYCIN	SAMEA95420668	4.079128015219999	1
1355	South Africa	lineage2	STREPTOMYCIN	SAMN02403614	4.24365399372	1
1356	South Africa	lineage2	STREPTOMYCIN	SAMEA95412418	4.079128015219999	1
1357	South Africa	lineage2	STREPTOMYCIN	SAMN03648714	2.10869336917	0
1358	South Africa	lineage2	STREPTOMYCIN	SAMEA95513668	3.4712041841100003	1
1359	South Africa	lineage2	STREPTOMYCIN	SAMN03648631	3.95212671894	1
1360	South Africa	lineage2	STREPTOMYCIN	SAMEA95482918	1.00895683908	1
1361	South Africa	lineage2	STREPTOMYCIN	SAMEA95511418	3.4712041841100003	1
1362	South Africa	lineage2	STREPTOMYCIN	SAMEA95437918	4.079128015209999	1
1363	South Africa	lineage2	STREPTOMYCIN	SAMEA95501668	4.70194412134	1
1364	South Africa	lineage2	STREPTOMYCIN	SAMEA95510668	3.4712041841100003	1
1365	South Africa	lineage2	STREPTOMYCIN	SAMEA95443918	2.22067772575	1
1366	South Africa	lineage2	STREPTOMYCIN	SAMN03648978	6.03831633151	1
1367	South Africa	lineage2	STREPTOMYCIN	SAMEA95530168	4.70194412134	1
1368	South Africa	lineage2	STREPTOMYCIN	SAMN02403607	6.36924258108	1
1369	South Africa	lineage2	STREPTOMYCIN	SAMN02350436	0.920642934838	1
1370	South Africa	lineage3	FLUOROQUINOLONES	SAMN02350435	3.22303570107	1
1371	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2534018	8.13551884547	1
1372	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2533889	17.3649890198	1
1373	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2535237	3.8666279872099993	1
1374	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2533795	11.758710280999999	1
1375	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2535029	15.9545503956	1
1376	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2534567	17.3649890199	1
1377	Germany	lineage2	RIFAMPICIN/RIFABUTIN	SAMEA2534314	17.3649890199	1
1378	United Kingdom	lineage1	ETHAMBUTOL	SAMN03647525	22.939963684499997	1
1379	United Kingdom	lineage1	ETHAMBUTOL	SAMN03648093	32.0307605607	1
1380	United Kingdom	lineage1	ETHAMBUTOL	SAMN03647573	20.0089419185	1
1381	United Kingdom	lineage1	ETHAMBUTOL	SAMN03647147	32.0307605607	1
1382	United Kingdom	lineage1	ETHAMBUTOL	SAMN03647404	32.0307605607	1
1383	United Kingdom	lineage1	ETHAMBUTOL	SAMEA2297002	18.1985203059	0
1384	Germany	lineage1	ISONIAZID	SAMEA2534219	11.296123525699999	0
1385	Peru	lineage2	FLUOROQUINOLONES	Peru4940	10.8737958785	1
1386	Peru	lineage2	FLUOROQUINOLONES	Peru3282	11.9277359246	1
1387	Peru	lineage2	FLUOROQUINOLONES	Peru4622	6.40783111411	1
1388	Peru	lineage2	FLUOROQUINOLONES	Peru3025	7.1875508999	1
1389	Peru	lineage2	FLUOROQUINOLONES	Peru4571	10.6996258483	0
1390	Peru	lineage2	FLUOROQUINOLONES	Peru4998	7.49130937046	1
1391	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3392	26.532694338699997	1
1392	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4940	15.8391662708	1
1393	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru5417	47.7900309903	0
1394	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4301	59.6284281165	1
1395	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru5126	47.7900309903	1
1396	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3413	13.632825300899999	1
1397	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4323	26.9371870659	1
1398	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru5439	47.7900309903	1
1399	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3282	47.4412958742	1
1400	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4622	2.5493165641699997	1
1401	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3328	170.050921983	1
1402	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4898	15.8391662708	1
1403	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3308	31.383124490100002	1
1404	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru3430	31.383124490100002	1
1405	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru5118	47.7900309903	1
1406	Peru	lineage2	RIFAMPICIN/RIFABUTIN	Peru4989	12.890460103099999	1
1407	Russia	lineage4	STREPTOMYCIN	SAMEA1707263	11.7832739262	0
1408	Russia	lineage4	STREPTOMYCIN	SAMEA1707198	17.3864781087	1
1409	Russia	lineage4	STREPTOMYCIN	SAMEA1707199	4.237048826180001	0
1410	Russia	lineage4	STREPTOMYCIN	SAMEA1707197	9.78224314519	1
1411	Russia	lineage4	STREPTOMYCIN	SAMEA1707452	6.081364795980001	1
1412	Russia	lineage4	STREPTOMYCIN	SAMEA1016000	20.9448012993	1
1413	Russia	lineage4	STREPTOMYCIN	SAMEA1707514	12.100494136400002	0
1414	Russia	lineage4	STREPTOMYCIN	SAMEA1707305	6.6547009244	1
1415	Russia	lineage4	STREPTOMYCIN	SAMEA1016088	5.08611327707	1
1416	Russia	lineage4	STREPTOMYCIN	SAMEA1016128	4.34975432127	1
1417	Russia	lineage4	STREPTOMYCIN	SAMEA1707267	11.374254463800002	0
1418	Russia	lineage4	STREPTOMYCIN	SAMEA1016081	9.0123930624	1
